"acct_num","cif_id","acct_name","gam_solid","entry_user","vfd_user","gam_branch","gam_province","gam_cluster_id","gam_cluster","tran_branch","tran_cluster_id","tran_cluster","tran_province","date","year","quarter","month","year_quarter","year_month","month_startdate","month_enddate","quarter_startdate","quarter_enddate","year_startdate","year_enddate","tran_date","tran_type","part_tran_type","acid","gl_sub_head_code","entry_user_id","vfd_user_id","tran_solid","tran_amt","tran_count","eod_balance","merchant","service","product","tran_source","signed_tranamt","row_id"
"1000141780","41780","cust-41780",9,"user 75","user 2","branch 9","province 1",1,"cluster 1","branch 9",1,"cluster 1","province 1","2021-02-18",2021,"Q1","02","2021-Q1   ","2021-02   ","2021-02-01","2021-02-28","2021-01-01","2021-03-31","2021-01-01","2021-12-31","2021-02-18","J ","CR","41780","63 ",75,2,9,"6629382.00",134,"88084.00",NULL,NULL,NULL,NULL,"6629382.00",164001
"100016628","6628","cust-6628",42,"user 24","user 19","branch 42","province 3",5,"cluster 5","branch 42",5,"cluster 5","province 3","2021-02-18",2021,"Q1","02","2021-Q1   ","2021-02   ","2021-02-01","2021-02-28","2021-01-01","2021-03-31","2021-01-01","2021-12-31","2021-02-18","J ","DR","6628","9  ",24,19,42,"6693000.00",138,"86700.00",NULL,NULL,NULL,NULL,"-6693000.00",164005
"1000129719","29719","cust-29719",47,"user 58","user 58","branch 47","province 4",5,"cluster 5","branch 47",5,"cluster 5","province 4","2021-07-01",2021,"Q3","07","2021-Q3   ","2021-07   ","2021-07-01","2021-07-31","2021-07-01","2021-09-30","2021-01-01","2021-12-31","2021-07-01","J ","CR","29719","73 ",58,58,47,"10637992.00",134,"81048.00",NULL,NULL,NULL,NULL,"10637992.00",164008
"1000140080","40080","cust-40080",49,"user 64","user 79","branch 49","province 4",5,"cluster 5","branch 49",5,"cluster 5","province 4","2021-02-18",2021,"Q1","02","2021-Q1   ","2021-02   ","2021-02-01","2021-02-28","2021-01-01","2021-03-31","2021-01-01","2021-12-31","2021-02-18","J ","CR","40080","42 ",64,79,49,"8573712.00",136,"52964.00",NULL,NULL,NULL,NULL,"8573712.00",164012
"1000148060","48060","cust-48060",47,"user 42","user 9","branch 47","province 4",5,"cluster 5","branch 47",5,"cluster 5","province 4","2021-02-18",2021,"Q1","02","2021-Q1   ","2021-02   ","2021-02-01","2021-02-28","2021-01-01","2021-03-31","2021-01-01","2021-12-31","2021-02-18","J ","CR","48060","21 ",42,9,47,"3257942.00",134,"52291.00",NULL,NULL,NULL,NULL,"3257942.00",164018
"1000146262","46262","cust-46262",28,"user 68","user 31","branch 28","province 2",3,"cluster 3","branch 28",3,"cluster 3","province 2","2021-07-01",2021,"Q3","07","2021-Q3   ","2021-07   ","2021-07-01","2021-07-31","2021-07-01","2021-09-30","2021-01-01","2021-12-31","2021-07-01","J ","DR","46262","49 ",68,31,28,"12551848.00",136,"55512.00",NULL,NULL,NULL,NULL,"-12551848.00",164024
"1000113993","13993","cust-13993",59,"user 44","user 9","branch 59","province 5",6,"cluster 6","branch 59",6,"cluster 6","province 5","2021-07-01",2021,"Q3","07","2021-Q3   ","2021-07   ","2021-07-01","2021-07-31","2021-07-01","2021-09-30","2021-01-01","2021-12-31","2021-07-01","J ","DR","13993","40 ",44,9,59,"10423592.00",134,"76186.00",NULL,NULL,NULL,NULL,"-10423592.00",164027
"1000142173","42173","cust-42173",24,"user 49","user 12","branch 24","province 2",3,"cluster 3","branch 24",3,"cluster 3","province 2","2021-02-18",2021,"Q1","02","2021-Q1   ","2021-02   ","2021-02-01","2021-02-28","2021-01-01","2021-03-31","2021-01-01","2021-12-31","2021-02-18","J ","DR","42173","69 ",49,12,24,"6321008.00",136,"88663.00",NULL,NULL,NULL,NULL,"-6321008.00",164029
"1000147669","47669","cust-47669",50,"user 1","user 15","branch 50","province 4",5,"cluster 5","branch 50",5,"cluster 5","province 4","2021-07-01",2021,"Q3","07","2021-Q3   ","2021-07   ","2021-07-01","2021-07-31","2021-07-01","2021-09-30","2021-01-01","2021-12-31","2021-07-01","J ","DR","47669","95 ",1,15,50,"5479704.00",138,"89028.00",NULL,NULL,NULL,NULL,"-5479704.00",164031
"1000132717","32717","cust-32717",28,"user 30","user 31","branch 28","province 2",3,"cluster 3","branch 28",3,"cluster 3","province 2","2021-02-18",2021,"Q1","02","2021-Q1   ","2021-02   ","2021-02-01","2021-02-28","2021-01-01","2021-03-31","2021-01-01","2021-12-31","2021-02-18","J ","CR","32717","99 ",30,31,28,"10812300.00",138,"82366.00",NULL,NULL,NULL,NULL,"10812300.00",164033
